,Game_ID,Home_Team,Away_Team,GAMES_LEFT,Team_ID,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Home,FGMiss,Tot_Prev_Points,Tot_Prev_Ast,Tot_OREB,Tot_TOV,Tot_FGMiss,Tot_FGMade,Tot_Opp_Prev_Points,Tot_Opp_OREB,Tot_Opp_FGMiss,Tot_Opp_TOV,Tot_Prev_Poss,Tot_Opp_Prev_Poss,ORTG,OREBRTG,TOVRTG,ASTRTG,DRTG,DTOVRTG,DREBRTG,Home_ORTG,Away_ORTG,Home_DRTG,Away_DRTG,Home_OREBRTG,Away_OREBRTG,Home_DREBRTG,Away_DREBRTG,Home_TOVRTG,Away_TOVRTG,Home_DTOVRTG,Away_DTOVRTG,Home_ASTRTG,Away_ASTRTG,Home_Win,Spread,Back_To_Back,Home_Team_B2B,Away_Team_B2B,Home_DASTRTG,Away_DASTRTG,Season
16823,0022100165,NOP,OKC,142,3221225500,5.0,17.0,0.48300000000000004,480,71,184,0.776,19,69,0.5509999999999999,47,62,1.5190000000000001,32,74,106,47,19,9,27,43,208,1,113,1989,435,219,299,1044,739,2202,200,956,263,1990,1999,199.56328495325567,41.545934921664966,29.985558337894126,117.02563110264349,219.76996790907845,26.336481800324954,41.923874401090636,101.56106519742882,98.00221975582686,112.68248175182482,107.08748615725361,22.782608695652172,18.763326226012794,19.919517102615693,22.004357298474943,15.335169880624427,14.6503884572697,13.047445255474452,13.2890365448505,61.29807692307693,55.72755417956656,0,-8,0,0,0,61.572052401746724,62.5,21
16824,0022100166,SAS,SAC,141,3221225517,9.0,14.0,0.7809999999999999,480,96,183,1.049,28,68,0.841,33,47,1.458,23,64,87,54,15,9,23,42,253,1,87,2288,533,194,285,1036,877,2272,223,1053,305,2139,2145,213.74909809250946,37.44625309988626,26.60451969485755,121.61737628860617,211.68618572859071,28.57547128738735,42.296798029556655,104.57643622200585,109.1726618705036,103.88349514563106,107.80269058295964,18.613861386138613,18.832391713747647,20.689655172413794,21.607142857142858,12.755598831548198,13.848920863309353,16.019417475728158,12.556053811659194,64.0552995391705,57.56207674943566,1,19,0,0,0,54.36893203883495,53.42163355408388,21
16825,0022100167,DEN,IND,141,3221225497,11.0,12.0,0.9690000000000001,480,76,168,0.905,23,61,0.755,24,31,1.486,21,66,87,41,10,15,22,33,199,1,92,2220,507,197,325,988,860,2190,194,1011,298,2097,2090,211.44766606478092,39.76704395893656,30.987378656729767,117.98679867986799,209.0641944465126,28.65940700174368,38.236057987439196,103.34685598377283,108.10081008100809,100.40774719673801,108.65644724977457,18.96551724137931,20.801526717557252,18.162393162393162,20.073664825046038,15.415821501014198,15.57155715571557,15.494393476044852,13.165013525698827,59.65346534653465,58.333333333333336,1,3,0,0,0,58.96739130434783,58.333333333333336,21
16826,0022100168,PHX,POR,142,3221225513,12.0,10.0,1.117,480,93,185,1.005,18,58,0.626,24,28,1.708,23,62,85,51,11,8,24,41,228,1,92,2203,506,195,270,960,828,2174,178,969,290,2034,2027,216.38908622095929,40.196351206327755,26.565281834048115,122.85714285714285,214.43590196771532,28.82261105219748,36.89603743989303,106.90399137001079,109.4850948509485,106.84782608695653,107.58807588075881,18.465227817745802,21.731123388581953,19.463087248322147,17.43295019157088,13.3764832793959,13.188798554652212,15.543478260869565,13.279132791327914,65.07936507936508,57.77777777777777,1,10,1,0,1,56.94444444444444,68.46846846846847,21
16828,0022100170,LAL,MIA,141,3221225495,14.0,9.0,1.2189999999999999,530,86,188,0.917,28,75,0.744,37,51,1.396,20,77,97,52,19,8,36,52,237,1,102,2328,512,221,319,1008,871,2251,224,1059,311,2143,2144,217.80288079487624,44.054764581980585,29.721463518176442,117.8108629721533,209.70213064199606,28.768573030557892,41.974412517699555,105.68475452196382,112.11812627291242,106.55172413793103,103.15040650406505,20.66420664206642,23.390557939914164,24.280575539568343,17.693836978131213,15.15934539190353,14.562118126272914,15.862068965517242,12.90650406504065,57.26495726495726,60.545905707196034,1,3,0,0,0,62.16814159292036,59.49720670391061,21
16829,0022100171,PHI,TOR,138,3221225516,15.0,11.0,1.153,480,82,184,0.893,25,67,0.748,35,36,1.947,25,61,86,54,18,15,23,34,224,1,102,2556,521,261,289,1155,964,2471,264,1142,351,2321,2323,220.2858776443682,44.76647457381911,24.902393204279996,107.99362783087919,212.74739154799283,30.209862157506322,46.072693291363365,113.93939393939394,106.34648370497428,107.5927523727351,105.15463917525774,19.402985074626866,25.363489499192244,24.74916387959866,21.323529411764707,12.380952380952381,12.521440823327614,12.855910267471959,17.353951890034363,56.93877551020409,51.0548523206751,0,-6,1,0,1,59.01287553648069,59.24276169265033,21
16830,0022100172,UTA,IND,139,3221225516,13.0,12.0,1.052,480,82,179,0.9179999999999999,20,63,0.636,27,42,1.302,22,68,90,41,13,9,22,39,211,1,97,2526,508,237,340,1084,930,2430,222,1143,285,2281,2278,221.80194226863267,43.81892127961568,29.756699778074914,108.7557603686636,213.0946316864301,24.966356733793454,38.782829397483994,113.82189239332097,107.9800498753117,104.17052826691382,108.92410341951626,22.868217054263564,20.950704225352112,18.478260869565215,20.304568527918782,14.37847866419295,15.378221113881963,11.955514365152919,13.010842368640535,50.69124423963134,58.06451612903226,0,-11,1,0,1,52.10280373831776,57.91666666666667,21
16831,0022100173,LAC,MIA,141,3221225494,14.0,9.0,1.2189999999999999,480,86,188,0.9159999999999999,20,78,0.517,29,34,1.706,27,65,92,38,18,13,27,35,221,1,102,2298,508,205,291,1016,840,2167,211,1067,320,2112,2111,217.4249253833196,40.194983479919955,27.51407031746659,120.89770343035521,205.23327100787458,30.442181151342993,39.66530933744048,106.09037328094301,111.33455210237659,101.67487684729065,103.55839416058394,17.20647773279352,22.988505747126435,21.814671814671815,17.850637522768668,13.163064833005894,14.351005484460694,16.84729064039409,13.594890510948904,59.949622166246854,60.94808126410835,1,3,1,0,1,54.947916666666664,59.15841584158416,21
16832,0022100174,CHA,NYK,137,3221225518,14.0,13.0,1.038,480,75,183,0.8200000000000001,23,71,0.649,27,42,1.278,26,74,100,42,18,10,31,40,200,1,108,2818,608,276,328,1263,1032,2843,275,1240,363,2553,2553,220.8477410577632,43.695641206739985,25.65897624851199,117.3968328233301,222.58918136585316,28.254984244707554,44.33899433899434,109.72733971997053,111.12040133779264,112.27038941954446,110.31879194630872,21.91176470588235,21.783876500857634,23.397435897435898,20.941558441558442,13.117170228445099,12.54180602006689,15.50330639235856,12.751677852348994,61.88747731397459,55.50935550935551,1,8,0,0,0,61.49732620320856,65.11627906976744,21
16833,0022100175,BOS,MIL,139,3221225487,12.0,13.0,0.962,530,91,194,0.9390000000000001,28,88,0.633,25,29,1.7069999999999999,28,64,92,45,12,10,27,31,235,1,103,2489,511,237,307,1179,914,2485,235,1150,323,2349,2344,211.84014627138566,40.183580834322186,26.153846153846153,111.8949766215082,211.9591317687097,27.61688219411681,40.90728563156188,104.56140350877192,107.27874276261373,104.84581497797356,107.11331679073615,19.755244755244757,20.42833607907743,20.840950639853748,20.066334991708125,13.333333333333334,12.82051282051282,14.713656387665196,12.903225806451612,56.947608200455576,54.94736842105263,1,9,0,0,0,54.418604651162795,55.90062111801242,21
